티커,계약수,금액,비중
005930,7034.0,1347714400,31.72
000660,826.0,777266000,18.29
005380,204.0,111792000,2.7
402340,137.0,77542000,1.82
012450,49.0,67669000,1.74
105560,477.0,71073000,1.68
034020,646.0,58463000,1.52
000270,364.0,60569600,1.46
055550,614.0,57040600,1.35
068270,233.0,49279500,1.19
035420,205.0,45100000,1.09
028260,151.0,44243000,1.03
086790,377.0,41922400,1.0
012330,93.0,40176000,0.99
006400,91.0,35717500,0.9
005490,103.0,35689500,0.87
009150,83.0,33324500,0.8
316140,1005.0,33918750,0.8
267260,34.0,33456000,0.79
009540,70.0,28490000,0.67
373220,74.0,27491000,0.67
006800,409.0,26666800,0.66
010140,993.0,27009600,0.66
329180,49.0,27391000,0.65
035720,506.0,25907200,0.65
032830,126.0,26964000,0.63
064350,110.0,24805000,0.61
042660,198.0,24175800,0.6
207940,15.0,24705000,0.59
015760,473.0,22798600,0.55
000810,46.0,22609000,0.55
051910,69.0,22390500,0.54
042700,63.0,19845000,0.5
033780,135.0,21141000,0.5
030200,330.0,19074000,0.47
047810,106.0,18974000,0.47
010130,11.0,19349000,0.46
066570,162.0,18694800,0.46
034730,53.0,19053500,0.46
267250,68.0,18700000,0.45
000720,111.0,15984000,0.42
298040,7.0,17388000,0.42
017670,223.0,17371700,0.41
272210,105.0,15834000,0.4
079550,20.0,15260000,0.4
010120,23.0,16123000,0.39
071050,61.0,14060500,0.34
096770,112.0,14168000,0.34
086280,55.0,13557500,0.32
138040,116.0,13432800,0.32
003550,137.0,13261600,0.31
323410,509.0,12241450,0.29
005830,65.0,12389000,0.29
003670,54.0,11232000,0.28
278470,37.0,10471000,0.27
352820,32.0,10976000,0.27
000150,10.0,10730000,0.25
011200,468.0,9945000,0.24
259960,43.0,9460000,0.23
024110,408.0,9710400,0.23
039490,22.0,9702000,0.23
007660,82.0,9479200,0.23
003490,382.0,9359000,0.22
018260,57.0,9513300,0.22
000100,90.0,8892000,0.21
016360,91.0,8663200,0.21
180640,70.0,8484000,0.21
009830,163.0,7237200,0.2
010950,63.0,8486100,0.2
028050,236.0,7823400,0.19
005940,220.0,7051000,0.17
138930,383.0,7200400,0.17
175330,237.0,6932250,0.17
161390,108.0,6663600,0.15
003230,6.0,6360000,0.15
032640,414.0,6214140,0.15
006260,25.0,6237500,0.15
090430,47.0,6119400,0.15
021240,82.0,6109000,0.15
011070,21.0,5533500,0.14
036570,26.0,5317000,0.13
000880,42.0,5363400,0.13
034220,436.0,5070680,0.12
001440,168.0,4897200,0.12
047050,69.0,4554000,0.12
004020,126.0,4510800,0.12
066970,42.0,4494000,0.12
128940,9.0,4671000,0.11
241560,78.0,4461600,0.11
064400,71.0,4451700,0.11
078930,67.0,4462200,0.11
0126Z0,8.0,4488000,0.1
052690,28.0,4093600,0.1
326030,41.0,4370600,0.1
271560,33.0,4095300,0.1
014680,13.0,3815500,0.1
082740,82.0,3919600,0.1
001040,21.0,3864000,0.09
443060,22.0,3808200,0.09
307950,9.0,3622500,0.09
139130,208.0,3588000,0.08
051900,14.0,3297000,0.08
004170,10.0,3375000,0.08
017800,38.0,3268000,0.08
002380,6.0,3234000,0.08
111770,33.0,3059100,0.08
457190,30.0,2910000,0.08
011790,30.0,2976000,0.07
012750,37.0,3078400,0.07
035250,171.0,3048930,0.07
010060,20.0,2626000,0.07
103140,25.0,2960000,0.07
009420,53.0,2973300,0.07
062040,20.0,2870000,0.07
011780,23.0,2806000,0.07
139480,30.0,2742000,0.07
001450,90.0,2763000,0.07
450080,38.0,2401600,0.06
377300,43.0,2549900,0.06
454910,29.0,2627400,0.06
204320,49.0,2641100,0.06
047040,300.0,2562000,0.06
071970,33.0,2610300,0.06
251270,48.0,2328000,0.06
022100,75.0,2422500,0.06
088350,496.0,2321280,0.06
029780,40.0,2380000,0.06
097950,12.0,2365200,0.06
081660,46.0,2212600,0.05
030000,104.0,2121600,0.05
011210,23.0,2093000,0.05
036460,56.0,2077600,0.05
011170,27.0,1971000,0.05
192820,12.0,2005200,0.05
375500,44.0,1962400,0.05
017960,48.0,1845600,0.05
004370,5.0,1985000,0.05
008770,46.0,1971100,0.05
006360,97.0,1896350,0.05
000120,16.0,1827200,0.05
112610,36.0,1674000,0.04
009970,8.0,1816000,0.04
051600,33.0,1801800,0.04
161890,26.0,1799200,0.04
028670,338.0,1913080,0.04
302440,39.0,1725750,0.04
120110,27.0,1657800,0.04
008930,42.0,1610700,0.04
005850,24.0,1584000,0.04
069960,18.0,1647000,0.04
018880,370.0,1465200,0.04
023530,15.0,1440000,0.03
073240,238.0,1437520,0.03
004990,44.0,1381600,0.03
282330,12.0,1383600,0.03
361610,57.0,1293900,0.03
383220,21.0,1333500,0.03
298020,4.0,1342000,0.03
003240,1.0,1204000,0.03
006280,8.0,1196800,0.03
069620,7.0,1162000,0.03
026960,46.0,1170700,0.03
001430,18.0,1098000,0.03
034230,65.0,1110850,0.03
002790,38.0,1026000,0.02
185750,12.0,1020000,0.02
004000,22.0,981200,0.02
007070,50.0,948000,0.02
000240,36.0,928800,0.02
285130,15.0,891000,0.02
298050,4.0,836000,0.02
192080,16.0,788000,0.02
007340,31.0,759500,0.02
000080,46.0,768660,0.02
004490,12.0,746400,0.02
007310,2.0,745000,0.02
001800,31.0,711450,0.02
000210,16.0,676800,0.02
003090,29.0,671350,0.02
005300,5.0,626500,0.02
006650,5.0,667000,0.01
093370,82.0,578920,0.01
001680,29.0,604650,0.01
005420,38.0,540360,0.01
006040,15.0,585000,0.01
069260,33.0,594990,0.01
114090,46.0,593860,0.01
300720,32.0,526720,0.01
009240,12.0,515400,0.01
005250,33.0,472890,0.01
280360,4.0,464400,0.01
137310,53.0,411810,0.01
008730,16.0,379200,0.01
000670,7.0,388500,0.01
071320,4.0,349200,0.01
002030,1.0,284000,0.01
002840,2.0,278800,0.01
003030,2.0,252000,0.01
014820,8.0,195200,0.0
268280,1.0,128600,0.0
010010,0.0,0,0.33
